Country,Region,LifeExpectancy,WellBeing,Footprint,HappyPlanetIndex,Population,GDP
Afghanistan,c,48.7,4.758380858,0.54033364,36.75365778,34385000,1207.280241
Albania,g,76.9,5.268936604,1.811905593,54.05118037,3205000,8592.168756
Algeria,c,73.1,5.236960708,1.648142319,52.18129773,35468000,8432.874685
Angola,d,51.1,4.20609164,0.890610927,33.20143204,19082000,6186.489994
Argentina,a,75.9,6.441067205,2.709071235,54.05504167,40412000,16011.6728
Armenia,g,74.2,4.367811292,1.733440557,46.0031858,3092000,5463.2032
Australia,b,81.9,7.405616149,6.68499159,41.97981195,22299000,38159.63365
Austria,b,80.9,7.346035958,5.291345642,47.0851352,8390000,40006.18691
Azerbaijan,g,70.7,4.218610823,1.9688118,40.88457003,9054000,9935.924425
Bahrain,c,75.1,4.549465854,6.645130455,26.6178499,1262000,25799.49163
Bangladesh,e,68.9,4.985649184,0.656558837,56.29200118,148692000,1659.15186
Belarus,g,70.3,5.525923419,3.987825725,37.41460214,9490000,13928.82579
Belgium,b,80,6.853514084,7.11051271,37.09052775,10896000,37631.06211
Belize,a,76.1,6.450644319,2.10917,59.28984525,345000,6669.820614
Benin,d,56.1,3.667139546,1.355719795,31.08320877,8850000,1587.340353
Bolivia,a,66.6,5.780620289,2.606054729,43.57790791,9929000,4849.317967
Bosnia and Herzegovina,g,75.7,4.668517409,2.738704294,42.35456003,3760000,8689.508856
Botswana,d,53.2,3.553020146,2.842844762,22.59117373,2007000,13893.06407
Brazil,a,73.5,6.837331186,2.934764729,52.93199603,194946000,11210.39081
Bulgaria,g,73.4,4.220367451,3.564774414,34.14537942,7534000,13930.64979
Burkina Faso,d,55.4,4.035560442,1.52578628,31.79385031,16468000,1255.937092
Burundi,d,50.4,3.79168079,0.845377541,30.51501246,8382000,408.5535491
Cambodia,f,63.1,4.161225375,1.19342113,40.32292067,14139000,2193.968522
Cameroon,d,51.6,4.433885204,1.087925193,33.6866861,19599000,2294.360673
Canada,b,81,7.650346263,6.428537676,43.55983899,34126000,39050.16732
Central African Republic,d,48.4,3.567892459,1.356604961,25.25646081,4401000,788.8855537
Chad,d,49.6,3.742871146,1.89141777,24.68189756,11227000,1370.184454
Chile,a,79.1,6.635655696,3.237786332,53.88333757,17113688,15779.25948
China,f,73.5,4.652736639,2.130289282,44.66073793,1338300000,7598.834968
Colombia,a,73.7,6.408113706,1.801067791,59.75102256,46295000,9452.796069
Comoros,d,61.1,3.92351296,1.30428,36.50447515,735000,1096.373581
Congo,d,57.4,3.819792213,1.081816201,34.54703713,4043000,4245.17814
"Congo, Dem. Rep. of the",d,48.4,3.983848565,0.758148809,30.54771793,65965000,346.9718799
Costa Rica,a,79.3,7.271053807,2.520027779,64.03592581,4659000,11568.60844
Cote d'Ivoire,d,55.4,4.197181518,0.994593431,35.93372902,19738000,1899.17711
